"sample","sampleid","otu","Kingdom","Phylum","Class","Order","Family","Genus","pctseqs"
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV11618;seqs=288;samples=79","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Mediterraneibacter",0.000392580233585239
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV17840;seqs=104;samples=28","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae Sedis XIII","Bacilliculturomica",0.000392580233585239
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV25391;seqs=43;samples=9","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Kineothrix",0.000588870350377858
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV28845;seqs=29;samples=11","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium XlVa",9.81450583963097e-05
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00004;seqs=21815605;samples=8834","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",0.057150980949673
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00006;seqs=19951031;samples=5570","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus",0.000497583167472277
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00009;seqs=13397954;samples=7232","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Turicibacter",0.0346175717941427
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00016;seqs=6595834;samples=1355","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Dubosiella",0.462539095820301
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00018;seqs=6043122;samples=1152","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Ileibacterium",0.00263008245663918
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00028;seqs=4185089;samples=5268","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",0.0412283195905601
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00031;seqs=3696921;samples=4404","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Clostridium sensu stricto",0.0145720784759738
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00036;seqs=3075213;samples=3779","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Paramuribaculum",0.013079328973557
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00037;seqs=3027715;samples=2897","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia",0.00177708274097242
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00060;seqs=2192784;samples=2923","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Clostridium sensu stricto",0.0189081603639465
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00064;seqs=2109558;samples=4429","Eukaryota","Plantae","Liliopsida","Poales","Poaceae","Zea",0.000426499857833381
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00072;seqs=1808299;samples=2269","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella",0.0136479954506682
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00073;seqs=1761110;samples=1962","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella",0.00326983224338925
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00084;seqs=1534943;samples=3548","Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Anaeroplasma",0.0349729883423372
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00087;seqs=1402753;samples=1513","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella",0.0474125675291442
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00097;seqs=1179851;samples=1678","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Paramuribaculum",0.0153539948820017
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00100;seqs=1158729;samples=1818","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Tyzzerella",0.00199033266988911
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00109;seqs=1065740;samples=1698","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella",0.0021324992891669
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00110;seqs=1061393;samples=2599","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor",0.00511799829400057
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00121;seqs=932269;samples=1309","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Pseudoclostridium",0.0137190787603071
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00133;seqs=812650;samples=1815","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Kineothrix",0.0178419107193631
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00136;seqs=797411;samples=4184","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Murimonas",0.00127949957350014
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00137;seqs=791628;samples=802","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella",0.00398066533977822
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00161;seqs=617268;samples=2142","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor",0.000710833096388968
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00165;seqs=614216;samples=2835","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Amedibacillus",0.00199033266988911
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00167;seqs=599254;samples=3797","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Acutalibacter",0.00170599943133352
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00176;seqs=573219;samples=4300","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Marvinbryantia",0.000497583167472277
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00184;seqs=552847;samples=2718","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Petroclostridium",0.000639749786750071
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00198;seqs=522395;samples=3981","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Lawsonibacter",0.00234574921808359
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00207;seqs=489168;samples=3737","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Schaedlerella",0.000355416548194484
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00210;seqs=481680;samples=2459","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella",0.0104492465169178
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00211;seqs=473707;samples=1069","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella",0.0171310776229741
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00215;seqs=451774;samples=2930","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Monoglobus",0.000355416548194484
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00220;seqs=430331;samples=3674","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter",0.00170599943133352
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00222;seqs=426516;samples=1658","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella",0.00341199886266705
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00223;seqs=424742;samples=1993","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Enterocloster",0.000568666477111174
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00236;seqs=397650;samples=1809","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Clostridium sensu stricto",0.0022035825988058
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00238;seqs=392237;samples=1352","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Stomatobaculum",0.00199033266988911
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00239;seqs=391533;samples=4592","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flintibacter",0.00142166619277794
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00240;seqs=390318;samples=2077","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerotignum",0.00120841626386125
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00242;seqs=386332;samples=1114","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Paramuribaculum",0.00369633210122263
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00253;seqs=356759;samples=1659","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Hungatella",0.00561558146147285
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00276;seqs=304759;samples=2384","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Monoglobus",0.000284333238555587
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00299;seqs=283497;samples=1719","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus",0.000781916406027865
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00301;seqs=279813;samples=2070","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 3","Caldisalinibacter",0.000355416548194484
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00303;seqs=278914;samples=1954","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium XlVa",0.00419391526869491
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00306;seqs=274348;samples=1705","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium XlVa",0.00490474836508388
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00313;seqs=264592;samples=2003","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Sporobacter",0.00305658231447256
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00324;seqs=255373;samples=830","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiracea_incertae_sedis",0.0125817458060847
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00340;seqs=232723;samples=1009","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum",0.00895649701450099
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00358;seqs=208392;samples=2004","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Fusicatenibacter",0.00291441569519477
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00381;seqs=188451;samples=3929","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Sporomusaceae","Anaerosinus",0.000497583167472277
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00389;seqs=186446;samples=2607","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flintibacter",0.00149274950241683
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00397;seqs=183528;samples=1252","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium XlVa",0.00497583167472278
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00413;seqs=174695;samples=964","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Monoglobus",0.00789024736991754
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00426;seqs=167310;samples=1622","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Hungatella",0.000568666477111174
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00437;seqs=162969;samples=2534","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerobacterium",0.00248791583736139
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00468;seqs=145372;samples=1782","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Murimonas",0.00142166619277794
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00473;seqs=144451;samples=1614","Bacteria","Firmicutes","Clostridia","Clostridiales","Catabacteriaceae","Catabacter",0.000568666477111174
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00495;seqs=132874;samples=1005","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Clostridium IV",0.00234574921808359
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00519;seqs=125559;samples=823","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum",0.00462041512652829
"MMF.16S.298_E16.D0.M2","E16.D0.M2","ASV00588;seqs=104955;samples=2402","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium XlVa",0.000852999715666761
